id,city,country_code,lat,temp,humidity,windspeed,cloudiness
5909514,brooks,CA,50.58,42.51,54,24.76,56
1175864,jhelum,PK,32.93,58.57,88,2.39,0
3352136,windhoek,NA,-22.56,57.2,85,10.29,56
1563281,tuy hoa,VN,13.08,75.81,97,18.84,88
1525988,ayagoz,KZ,47.97,32.79,82,4.07,48
1053384,toamasina,MG,-18.17,75.2,83,13.87,75
4497868,waynesville,US,35.49,36.5,86,21.92,75
942511,vryburg,ZA,-26.96,65.86,53,9.22,100
3929520,san juan,PE,-15.37,62.13,93,14.7,0
3531368,celestun,MX,20.87,78.82,100,16.82,8
7609320,umburarameha,ID,-9.66,67.03,99,3.18,8
4543762,norman,US,35.22,73.18,35,8.05,1
2032614,baruun-urt,MN,46.68,21.31,67,15.37,0
1706374,limaong,PH,7.36,79.41,100,8.88,20
3163146,andenes,NO,69.31,35.6,80,17.22,80
4272782,hays,US,38.88,78.19,22,17.22,1
3391889,pitimbu,BR,-7.47,78.8,83,10.29,75
1269106,jawhar,IN,19.92,65.28,72,4.18,0
706915,kamyshnya,UA,50.19,42.96,98,16.26,92
290030,doha,QA,25.29,84.2,62,2.24,0
494366,shimsk,RU,58.21,34.81,97,2.39,88
2328952,nguru,NG,12.88,75.09,33,5.75,36
6075357,mississauga,CA,43.58,46.08,75,10.29,75
515879,oktyabrskiy,RU,54.48,39.67,97,17.16,92
